id,games_played,min,fgm,fga,pts
1,31,18:50,1.74,5.0,5.13
2,34,12:34,1.12,3.24,3.18
3,80,33:19,6.01,10.09,13.85
4,82,23:19,3.41,5.93,8.89
5,7,3:05,0.43,1.43,1.0
6,81,33:10,8.44,16.28,21.32
7,11,10:56,1.18,3.55,3.36
8,48,8:40,1.4,3.71,4.4
9,80,26:12,4.19,7.1,10.91
10,82,27:56,3.13,7.23,9.27
11,55,8:21,1.15,2.82,3.16
12,43,29:48,3.49,6.42,8.05
13,43,7:28,0.49,1.6,1.47
14,3,2:03,0.0,1.0,0.0
15,77,30:37,9.36,16.19,25.9
16,10,1:03,0.0,0.3,0.2
17,10,29:24,4.9,12.1,13.4
18,67,20:10,2.73,6.03,7.0
19,81,24:12,2.31,5.16,6.72
20,72,32:37,4.08,10.22,11.99
21,81,28:00,3.93,8.36,11.7
22,71,30:44,7.17,12.25,16.32
23,46,16:29,2.65,5.59,6.87
24,62,25:16,5.74,11.39,14.89
25,15,10:07,0.27,1.33,0.93
26,16,5:51,0.63,2.06,1.88
27,47,30:15,3.94,9.7,9.89
28,47,16:18,2.49,5.17,6.21
29,38,19:47,4.24,10.13,10.92
30,77,32:53,5.6,13.32,16.43
31,43,27:39,4.3,10.7,11.49
32,34,14:48,1.76,4.18,4.44
33,79,29:47,3.2,7.11,8.85
34,44,14:55,1.86,5.23,4.75
35,51,16:05,2.06,4.37,5.57
36,67,24:31,4.15,10.31,11.63
37,82,36:55,9.32,19.62,25.6
38,81,23:11,4.31,9.1,11.32
39,26,10:40,2.88,5.88,6.96
40,79,22:58,3.61,8.73,10.49
41,74,10:39,1.34,2.59,3.01
42,82,23:32,3.34,7.51,8.35
43,47,17:34,1.87,4.19,4.89
44,76,21:28,2.68,5.96,7.97
45,78,27:24,2.49,6.09,7.64
46,50,12:51,1.82,3.02,4.8
48,55,14:13,1.62,2.84,4.29
49,80,22:20,3.55,7.41,9.26
50,67,12:22,2.48,5.91,6.24
51,81,28:02,5.8,12.0,15.32
53,70,27:48,5.16,12.33,14.14
54,82,31:22,6.37,12.8,17.73
55,56,11:24,1.43,2.89,3.7
56,28,4:17,0.18,1.18,0.68
57,68,32:58,8.62,18.46,25.0
58,40,4:04,0.85,1.9,2.33
59,66,28:52,3.76,9.21,9.47
60,6,5:59,1.33,2.67,2.83
